epoch,train_loss,val_loss,val_acc,val_f1,duration_sec
1,1.8563905067222064,2.0911294720389626,0.02727272727272727,0.0075853350189633365,1.8173491954803467
2,2.1279688654533513,1.9259166284040972,0.02727272727272727,0.0075853350189633365,1.564589023590088
3,2.3689586762724253,1.8165170788764953,0.02727272727272727,0.0075853350189633365,1.5707638263702393
4,2.4895856051609435,1.793417834151875,0.02727272727272727,0.0075853350189633365,1.5641119480133057
5,2.0987918006962745,1.7546494993296538,0.02727272727272727,0.0075853350189633365,1.5603504180908203
6,2.4915516738233894,1.7515135450796648,0.02727272727272727,0.0075853350189633365,1.5611255168914795
7,2.1623502439466016,1.7408770712939177,0.02727272727272727,0.0075853350189633365,1.5538341999053955
8,2.2599017552774527,1.7311229651624507,0.01818181818181818,0.005102040816326531,1.5675294399261475
9,2.2794871128838636,1.7346662185408852,0.3181818181818182,0.08333333333333333,1.5545167922973633
10,2.1257822649232274,1.7203375133601102,0.39090909090909093,0.08414872798434443,1.5754015445709229
11,2.2732128932558258,1.7501271984793922,0.02727272727272727,0.0075853350189633365,1.5691306591033936
12,1.9902113507533896,1.7450204957615245,0.01818181818181818,0.005102040816326531,1.5853910446166992
13,2.020223886802279,1.73865745826201,0.045454545454545456,0.024595469255663433,1.5895097255706787
14,2.108701499988293,1.7231583432717756,0.01818181818181818,0.005102040816326531,1.5856528282165527
15,2.2846166479176486,1.6964705109596252,0.01818181818181818,0.005148005148005148,1.5754051208496094
16,2.2140348518716877,1.7034609642895786,0.045454545454545456,0.017857142857142856,1.5839812755584717
17,2.1645774298700795,1.7085969296368686,0.02727272727272727,0.01561533704390847,1.5678541660308838
18,2.277663464381777,1.697471833229065,0.02727272727272727,0.02424242424242424,1.556339979171753
19,1.9946027276844813,1.6985999790104953,0.03636363636363636,0.019239274657231315,1.5740272998809814
20,1.8741735811891227,1.7036249323324724,0.02727272727272727,0.0075853350189633365,1.5128893852233887
21,2.221491274340399,1.6954879381439902,0.01818181818181818,0.011543078769969527,1.5815823078155518
22,1.995801917026783,1.7161947109482505,0.01818181818181818,0.005102040816326531,1.5767326354980469
23,2.1402875045250203,1.7047268423167141,0.01818181818181818,0.005102040816326531,1.5846436023712158
24,1.8813921897575774,1.7166766892779957,0.02727272727272727,0.0075853350189633365,1.5165014266967773
25,1.9206497447244053,1.7017256140708923,0.02727272727272727,0.016269841269841268,1.5783905982971191
26,2.128698547955217,1.7048684792085127,0.02727272727272727,0.02042160737812912,1.572678804397583
27,2.363773958436374,1.7202117724852128,0.01818181818181818,0.005148005148005148,1.5669593811035156
28,2.211159247365491,1.7202419833703475,0.045454545454545456,0.02079468150896722,1.5767889022827148
29,2.236949424908079,1.716421458937905,0.02727272727272727,0.01764705882352941,1.5789167881011963
30,2.264703938056683,1.7200047753073953,0.02727272727272727,0.018534863195057368,1.5655608177185059
31,2.174358111414416,1.716436598517678,0.02727272727272727,0.0075853350189633365,1.5228168964385986
32,2.009523970505287,1.70616934299469,0.01818181818181818,0.005102040816326531,1.5694456100463867
33,2.1493619762617966,1.7123617573217913,0.02727272727272727,0.0075853350189633365,1.5656592845916748
34,1.9617793884770625,1.7136271129954945,0.02727272727272727,0.0075853350189633365,1.589921474456787
35,2.0010071713348916,1.7217143026265231,0.02727272727272727,0.0075853350189633365,1.513197422027588
36,2.2922556441405724,1.723118887164376,0.02727272727272727,0.0075853350189633365,1.5593359470367432
37,2.368779479224106,1.7237847794185985,0.02727272727272727,0.0075853350189633365,1.552297592163086
38,2.0801273904997726,1.7241351832043041,0.02727272727272727,0.0075853350189633365,1.5605506896972656
39,1.9465531176534192,1.7234852639111606,0.02727272727272727,0.0075853350189633365,1.5507547855377197
40,2.015822999641813,1.7225056767463685,0.02727272727272727,0.0075853350189633365,1.554105281829834
41,2.1621711007479965,1.721523794260892,0.02727272727272727,0.0075853350189633365,1.5442163944244385
42,1.9157729354398003,1.718143192204562,0.02727272727272727,0.0075853350189633365,1.552619457244873
43,2.101041247104776,1.7197685209187594,0.02727272727272727,0.0075853350189633365,1.5603604316711426
44,2.4595041233917763,1.7212205843491988,0.02727272727272727,0.0075853350189633365,1.549541711807251
45,1.9482899357532633,1.7214696103876288,0.02727272727272727,0.0075853350189633365,1.5594537258148193
46,2.0249801395268276,1.7226165262135593,0.02727272727272727,0.0075853350189633365,1.556891918182373
47,1.9729389396207087,1.7230628176168963,0.02727272727272727,0.0075853350189633365,1.5472824573516846
48,2.0300732941463075,1.7229323257099498,0.02727272727272727,0.0075853350189633365,1.493143081665039
49,2.1075986190088862,1.7228950381278991,0.02727272727272727,0.0075853350189633365,1.545367956161499
50,1.9103357724074659,1.7228253267028115,0.02727272727272727,0.0075853350189633365,1.5558347702026367
