epoch,train_loss,val_loss,val_acc,val_f1,duration_sec
1,2.0439837597608568,2.13101047819311,0.02727272727272727,0.0075853350189633365,20.9654483795166
2,2.4812268372239736,2.103271729295904,0.05454545454545454,0.026554856743535988,20.88144087791443
3,1.816861759686301,2.244437252391468,0.07272727272727272,0.031034762174864276,21.003234386444092
4,2.092966309909163,2.163236071846702,0.05454545454545454,0.02493506493506494,21.025638818740845
5,2.1393577602402916,1.8524744174697183,0.38181818181818183,0.12494592022151076,21.00157618522644
6,2.355178271490952,1.9131489331072027,0.17272727272727273,0.07883525503224545,21.027745246887207
7,2.078603578333197,1.9699974114244634,0.32727272727272727,0.11794490614391226,21.005187273025513
8,2.157865581841304,2.088939918171276,0.03636363636363636,0.013605442176870748,21.04552173614502
9,2.2827416863934746,2.0088384162295947,0.13636363636363635,0.05853064251284496,21.00700306892395
10,2.3214964583002287,1.9884853471409192,0.06363636363636363,0.03134110787172011,21.003902196884155
11,2.0647665138902336,1.9681231726299633,0.06363636363636363,0.03478036584436118,21.011269092559814
12,1.944599866455999,1.9488748875531283,0.05454545454545454,0.027221050946064956,20.99516725540161
13,1.9222203612327575,1.9725418036634272,0.1,0.04644512114391632,21.003215312957764
14,2.0258129580267545,1.8964335842566056,0.09090909090909091,0.042630385487528344,20.985778331756592
15,2.2996487722314636,1.8837037953463467,0.17272727272727273,0.07371690094802222,20.991504430770874
16,2.1424261489818837,1.9253695314580743,0.13636363636363635,0.06817972350230415,21.008558988571167
17,2.045600372758405,1.8098658713427458,0.16363636363636364,0.07518896447467875,21.004436016082764
18,1.8982230969544114,1.8620776880871166,0.15454545454545454,0.06833467850417003,21.008237838745117
19,2.4461804776356137,1.8894017046148126,0.21818181818181817,0.06857142857142857,20.879760026931763
20,2.4044872168836924,1.857947087287903,0.11818181818181818,0.06980978437886783,21.00633931159973
21,2.0919549576167404,1.7817371498454702,0.24545454545454545,0.10356740378882971,20.99406671524048
22,2.0548968150697906,1.9140251473947005,0.1,0.053905307942575025,21.008320808410645
23,2.1102617204189302,1.8776353435082869,0.19090909090909092,0.08448009518378706,20.979698657989502
24,2.0638651886890673,1.8961045276034962,0.3,0.10072469354714363,20.987732648849487
25,1.9738253211152965,1.9727460460229354,0.06363636363636363,0.031989063568010935,21.00086283683777
26,2.230112523662633,1.897531486641277,0.12727272727272726,0.06586167455732674,21.004804134368896
27,2.063557192169387,1.9081288478591225,0.21818181818181817,0.08987269283291487,20.97718095779419
28,2.0330018799880456,1.9160051974383268,0.09090909090909091,0.04284932363750098,20.911086559295654
29,1.903644976122626,1.9229979558424517,0.06363636363636363,0.043650793650793655,20.98994469642639
30,1.7129333494038417,1.8975965824994174,0.12727272727272726,0.07524029512302434,21.005021572113037
31,2.1594802938658617,1.9521924885836515,0.08181818181818182,0.04838160225569426,21.02131175994873
32,2.155717739565619,1.9539130026643927,0.08181818181818182,0.05729347287960069,21.012765407562256
33,2.250446992084898,1.8749073321169072,0.14545454545454545,0.057190916736753576,20.99001145362854
34,1.76161527633667,1.8434071226553483,0.12727272727272726,0.0606060606060606,20.97942590713501
35,1.7776232238473564,1.915171789039265,0.10909090909090909,0.05830319914826957,21.010179042816162
36,2.154995204559688,1.9103843645616012,0.10909090909090909,0.05614454691105337,20.9990975856781
37,2.0463273714328634,1.9131218238310381,0.10909090909090909,0.05833633958633959,20.990818977355957
38,1.7818344506724126,1.8575098102742975,0.11818181818181818,0.06676090349559737,21.01038432121277
39,2.112435316217357,1.8345670721747658,0.20909090909090908,0.10925679346731978,20.99860715866089
40,1.9458056433447477,1.911583901535381,0.1,0.061564625850340136,21.008515119552612
41,2.0158820281768666,1.9026581352407281,0.08181818181818182,0.052927466915266605,20.98962092399597
42,1.748121611003218,1.879848919131539,0.08181818181818182,0.04827737546631556,21.02396535873413
43,1.6224996681871084,1.9010586402632974,0.11818181818181818,0.06749608934482884,20.880871057510376
44,2.00301858638895,1.859943187236786,0.11818181818181818,0.0667477022156825,21.01198172569275
45,2.0953522542427327,1.849497843872417,0.11818181818181818,0.06369017958131216,21.001098155975342
46,1.9430618479334074,1.8570175300944936,0.10909090909090909,0.05520206441887665,21.023576259613037
47,1.7674672743369793,1.8829780286008662,0.09090909090909091,0.0550972942519105,21.003593683242798
48,1.8944625879156178,1.8906292666088451,0.10909090909090909,0.059071904623918536,21.012207508087158
49,1.8815641666280811,1.8715592362663962,0.10909090909090909,0.05257936507936508,21.02488684654236
50,1.6320833625464604,1.9142250841314143,0.09090909090909091,0.055553236243356514,21.033209800720215
